id,dir,outcome,R,saw,e_ok,sl_ok,repro,mode,algo_e,user_e,algo_sl,user_sl,n_near
1,long,win,17.7,yes,True,False,False,range,4459.2,4460.048,4436.1,4442.347,38
2,short,win,18.1,yes,True,False,False,continuation,4511.2,4511.054,4522.8,4529.143,34
3,short,win,25.4,yes,True,True,True,range,4506.4,4507.557,4527.4,4532.967,35
4,short,win,12.9,yes,True,False,False,range,4553.5,4551.59,4576.0,4564.518,27
5,long,win,14.4,yes,True,False,False,range,4479.3,4479.035,4459.0,4464.592,39
6,short,win,15.6,yes,True,False,False,continuation,4671.9,4671.813,4693.1,4687.409,32
7,long,win,18.4,yes,True,False,False,continuation,4681.4,4680.095,4654.9,4661.728,33
8,short,loss,20.6,yes,True,True,True,continuation,4704.9,4705.833,4724.6,4726.417,28
9,long,win,25.1,yes,True,True,True,continuation,4555.1,4550.006,4531.6,4524.947,30
10,short,loss,23.2,yes,True,True,True,range,4613.0,4614.544,4633.6,4637.735,29
11,long,win,20.3,yes,False,False,False,continuation,4555.1,4544.277,4531.6,4523.978,24
12,long,loss,21.7,yes,True,False,False,continuation,4700.2,4695.947,4685.1,4674.296,31
13,short,win,22.9,yes,True,True,True,range,4803.6,4801.441,4828.0,4824.365,34
14,short,miss,48.2,yes,True,False,False,continuation,4755.3,4755.886,4766.3,4804.136,25
15,long,win,33.8,yes,True,False,False,range,4429.9,4429.213,4372.0,4395.447,24
16,short,win,48.3,yes,True,True,True,range,4527.3,4538.657,4573.9,4586.943,26
17,long,win,82.8,yes,False,False,False,range,4406.4,4315.214,4345.1,4232.464,21
18,short,win,106.3,yes,True,False,False,range,4517.1,4521.47,4547.8,4627.774,18
19,short,win,29.5,yes,True,False,False,range,5173.0,5172.065,5239.0,5201.525,35
20,long,loss,57.7,yes,True,True,True,range,5137.8,5136.965,5086.3,5079.298,42
21,short,win,62.0,yes,True,True,True,continuation,5275.3,5279.41,5341.9,5341.38,37
22,short,loss,30.8,yes,True,False,False,range,5165.6,5164.579,5212.6,5195.385,31
23,long,win,57.6,yes,True,False,False,range,4971.7,4962.657,4883.2,4905.097,28
24,long,win,113.4,yes,True,True,True,continuation,4753.5,4753.521,4646.5,4640.1,50
25,short,win,91.5,yes,False,False,False,range,5211.1,5471.852,5467.0,5563.32,13
