strategy,market,file,trades,win_rate,total_pnl,return_pct,max_drawdown,sharpe,profit_factor
Seykota EMA Trend Following,Gold Daily 2Y,ema_trend_following.py,6,0.5,49012.22858149557,0.4860708462663047,-0.1204376086656387,1.3652180492302843,10.394056152778097
Turtle System 2 (55-Day Breakout),Gold Daily 2Y,turtle_s2_55day.py,3,1.0,29328.58189465013,0.2918867165962381,-0.0805878817542501,1.3409529735631536,29328.58189465013
Trout Risk Rules (MA Cross + Risk Overlay),Gold Daily 2Y,trout_risk_rules.py,9,0.4444444444444444,21076.832958393257,0.2073262865074347,-0.0527616821495207,1.258228330179307,5.767142560235695
Trout Risk Rules (MA Cross + Risk Overlay),S&P 500 Daily 5Y,trout_risk_rules.py,17,0.5294117647058824,13549.36603507018,0.1294050494715896,-0.0561777228156336,0.6920557327306739,2.858858058662797
Seykota EMA Trend Following,S&P 500 Daily 5Y,ema_trend_following.py,14,0.4285714285714285,13013.0896091406,0.124931346020333,-0.0495818543177194,0.6837155597831127,3.557809455199616
Turtle Breakout (20/10 Channel),Gold Daily 2Y,turtle_breakout.py,11,0.3636363636363636,9510.756024826189,0.0911117994051272,-0.0582838044973453,0.6280866086212888,2.5572236301070945
Bollinger Band Pairs Mean Reversion,GLD Daily 5Y,chan_bollinger_pairs.py,32,0.78125,7853.673776939642,0.0691729948323041,-0.0382009706427113,0.5228676616815835,2.600617112940057
Driehaus Growth Momentum,QQQ Daily 5Y,driehaus_momentum.py,3,0.6666666666666666,2723.536384111488,0.0261773521717847,-0.0334823403566825,0.2904326301321748,2.673677837460785
Turtle Breakout (20/10 Channel),Copper Daily 2Y,turtle_breakout.py,8,0.5,5668.581606908255,0.0538291543572554,-0.1093996634683501,0.2699584957204619,1.6718632651419767
Kalman Filter Mean Reversion (EWA-EWC),EWA Daily 5Y,chan_kalman_mean_reversion.py,4,0.75,714.7125672567138,0.0060951768070914,-0.0068174158476541,0.269542843013789,7.131967167561804
Seykota EMA Trend Following,GBP/USD Daily 2Y,ema_trend_following.py,7,0.5714285714285714,2515.730970967693,0.0190279433337893,-0.0451875616537117,0.2460934200059933,1.8429002811586768
Turtle Breakout (20/10 Channel),S&P 500 Daily 5Y,turtle_breakout.py,25,0.44,4798.857050162745,0.0374244323075488,-0.0594374954458516,0.2264056232698876,1.4402610085566858
Turtle System 2 (55-Day Breakout),S&P 500 Daily 5Y,turtle_s2_55day.py,13,0.5384615384615384,3932.888702756864,0.0338031770282628,-0.0967346861552912,0.1932812426326502,1.360657780959894
Seykota EMA Trend Following,Copper Daily 2Y,ema_trend_following.py,8,0.375,1749.0327271164315,0.0146981427632246,-0.0949575646293377,0.1248462796788632,1.226840828537399
Turtle Breakout (20/10 Channel),GBP/USD Daily 2Y,turtle_breakout.py,7,0.5714285714285714,1103.096093331603,0.0063344580072039,-0.0372164816714926,0.1139608157351028,1.245878323863844
Time-Series Momentum (Copper/Commodity),Copper Daily 2Y,chan_momentum_copper.py,2,0.5,-1239.2657335700137,-0.013063086953828,-0.1034211788800212,0.0711814601450833,0.5211113893210003
Inside Day Breakout,USD/CAD Daily 2Y,lien_inside_day_breakout.py,0,0.0,0.0,0.0,0.0,0.0,0.0
Inside Day Breakout,GBP/USD Daily 2Y,lien_inside_day_breakout.py,0,0.0,0.0,0.0,0.0,0.0,0.0
Sperandeo Market Age Reversal,S&P 500 Daily 5Y,sperandeo_age_reversal.py,0,0.0,0.0,0.0,0.0,0.0,0.0
Inside Day Breakout,EUR/GBP Daily 2Y,lien_inside_day_breakout.py,0,0.0,0.0,0.0,0.0,0.0,0.0
Turtle System 2 (55-Day Breakout),GBP/USD Daily 2Y,turtle_s2_55day.py,3,0.3333333333333333,-486.2535218142473,-0.0069346836250915,-0.0368448582884948,-0.100940522654652,0.8154585471664991
Turtle System 2 (55-Day Breakout),Copper Daily 2Y,turtle_s2_55day.py,3,0.3333333333333333,-2995.6705156273656,-0.030881140362674,-0.1190432178394837,-0.1497524909180155,0.3879327049682442
Schwartz MA Pullback (10/20 EMA),S&P 500 Daily 5Y,schwartz_ma_pullback.py,77,0.3636363636363636,-417.63281220736826,-0.0364144649140855,-0.0727948257600012,-0.2023365533326315,0.9818946703505128
CAN SLIM Cup-with-Handle Breakout,QQQ Daily 5Y,oneil_canslim_breakout.py,2,0.5,-541.6025956770545,-0.0056634051983781,-0.0110067173905773,-0.2110466185758205,0.4279665513281227
lien_london_breakout.py,London Breakout on GBP/USD 1H 6mo,lien_london_breakout.py,43,0.023,-12540.0,-0.125,-0.1284,-1.99,0.01
lien_asian_range_breakout.py,Asian Range Breakout on EUR/USD 1H 6mo,lien_asian_range_breakout.py,76,0.132,-18250.0,-0.183,-0.1967,-2.75,0.07
